TimeStamp,Value
20220927141918,42.92095899581909
20220927141919,42.85144805908203
20220927141920,42.07456111907959
20220927141921,42.89233684539795
20220927141922,42.93731451034546
20220927141923,42.89233684539795
20220927141924,42.94549226760864
20220927141925,42.92095899581909
20220927141926,42.880070209503174
20220927141927,42.884159088134766
20220927141928,42.88824796676636
20220927141929,42.88824796676636
20220927141930,42.94549226760864
20220927141931,42.94549226760864
20220927141932,42.89642572402954
20220927141933,42.9168701171875
20220927141934,42.95775890350342
20220927141935,42.8678035736084
20220927141936,42.884159088134766
20220927141937,42.90051460266113
20220927141938,42.88824796676636
20220927141939,42.9659366607666
20220927141940,42.516160011291504
20220927141941,40.71705341339111
20220927141942,42.89233684539795
20220927141943,42.89642572402954
20220927141944,42.94140338897705
20220927141945,42.9168701171875
20220927141946,42.8678035736084
20220927141947,42.880070209503174
20220927141948,42.49980449676514
20220927141949,42.93322563171387
20220927141950,42.908692359924316
20220927141951,42.929136753082275
20220927141952,42.51207113265991
20220927141953,42.90051460266113
20220927141954,42.48344898223877
20220927141955,42.9168701171875
20220927141956,42.904603481292725
20220927141957,42.85553693771362
20220927141958,42.50798225402832
20220927141959,42.49162673950195
20220927142000,42.8678035736084
20220927142001,42.908692359924316
20220927142002,42.929136753082275
20220927142003,42.89642572402954
20220927142004,42.93322563171387
20220927142005,42.84327030181885
20220927142006,42.93322563171387
20220927142007,42.884159088134766
20220927142008,42.89642572402954
20220927142009,42.949581146240234
20220927142010,42.50389337539673
20220927142011,42.884159088134766
20220927142012,42.925047874450684
20220927142013,42.884159088134766
20220927142014,42.93731451034546
20220927142015,42.93731451034546
20220927142016,42.9659366607666
20220927142017,42.884159088134766
20220927142018,42.52433776855469
20220927142019,53.441643714904785
20220927142020,42.904603481292725
20220927142021,42.90051460266113
20220927142022,42.89233684539795
20220927142023,42.4670934677124
20220927142024,42.54887104034424
20220927142025,42.92095899581909
20220927142026,42.50798225402832
20220927142027,42.96184778213501
20220927142028,42.516160011291504
